1,B
2,D
3,C
4,D
5,D
6,B
7,D
8,D
9,B
10,B
11,C
12,B
13,A
14,A
15,A
16,C
17,D
18,C
19,C
20,D
21,D
22,A
23,D
24,B
25,D
26,D
27,A
28,A
29,B
30,D
31,A
32,D
33,D
34,B
35,C
36,B
37,A
38,B
39,C
40,B
41,B
42,A
43,C
44,C
45,A
46,C
47,B
48,D
49,D
50,B
51,B
52,A
53,C
54,D
55,D
56,A
57,D
58,D
59,C
60,D
61,D
62,A
63,D
64,B
65,D
66,D
67,B
68,B
69,B
70,D
71,D
72,C
73,B
74,A
75,B
76,C
77,D
78,D
79,A
80,C
81,C
82,D
83,A
84,B
85,D
86,B
87,C
88,D
89,C
90,D
91,C
92,D
93,B
94,D
95,C
96,B
97,D
98,A
99,A
100,D
101,D
102,B
103,D
